time,x,y
0.000000000000000000e+00,6.176249999999999796e-01,2.272361111111110832e-01
1.672299999998472231e-02,7.062291666666666856e-01,4.374722222222222623e-01
3.332499999999072315e-02,7.094791666666666607e-01,4.461944444444444491e-01
4.998699999998734711e-02,6.891874999999999529e-01,7.249305555555555225e-01
6.661900000000287037e-02,6.879791666666666972e-01,7.217500000000000027e-01
8.322099999998044950e-02,6.839062499999999378e-01,7.129444444444443807e-01
9.982299999998645035e-02,6.853020833333333117e-01,7.123194444444445050e-01
1.164550000000019736e-01,6.997604166666666625e-01,4.367638888888889515e-01
1.330869999999890751e-01,6.605833333333333002e-01,7.014444444444444260e-01
1.497190000000045984e-01,6.089166666666666616e-01,6.919999999999999485e-01
1.663509999999917000e-01,5.945833333333332416e-01,6.753472222222222099e-01
1.829520000000002256e-01,5.301979166666667131e-01,4.680138888888889515e-01
1.997069999999894208e-01,5.887812500000000338e-01,6.847916666666666874e-01
2.163390000000049440e-01,5.799270833333333153e-01,6.866388888888889097e-01
2.330010000000015680e-01,5.769791666666665986e-01,6.837083333333333623e-01
2.496029999999791471e-01,5.791874999999999662e-01,6.886250000000000426e-01
2.662650000000041928e-01,5.809895833333332815e-01,6.939722222222222126e-01
2.828360000000031960e-01,5.821979166666666483e-01,6.970833333333332771e-01
2.994379999999807751e-01,5.829270833333333179e-01,6.997916666666665897e-01
3.161010000000032960e-01,5.857500000000001039e-01,6.998472222222221761e-01
3.327940000000069176e-01,5.833749999999999769e-01,7.017499999999999849e-01
3.493650000000059208e-01,5.810520833333332469e-01,7.024166666666666892e-01
3.661489999999787415e-01,5.797083333333332700e-01,7.014444444444444260e-01
3.827210000000036416e-01,5.831041666666666456e-01,7.025555555555555998e-01
3.993529999999907432e-01,5.835937500000000222e-01,7.044166666666666909e-01
4.159539999999992688e-01,5.864999999999999103e-01,7.046805555555555323e-01
4.326169999999933680e-01,5.900625000000000453e-01,6.788888888888888751e-01
4.492180000000018936e-01,5.824270833333333730e-01,6.808055555555555527e-01
4.658809999999959928e-01,5.827500000000001013e-01,6.961944444444444491e-01
4.824519999999949960e-01,5.846979166666665950e-01,6.953749999999999654e-01
