time,right pupil diameter,left pupil diameter
0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
1.663200000029974035e-02,4.780000000000000249e+00,4.040000000000000036e+00
3.323300000010931399e-02,4.799999999999999822e+00,4.019999999999999574e+00
4.986500000040905434e-02,4.719999999999999751e+00,4.059999999999999609e+00
6.652800000028946670e-02,4.860000000000000320e+00,4.000000000000000000e+00
8.331300000008923234e-02,4.879999999999999893e+00,4.160000000000000142e+00
9.982300000001487206e-02,4.540000000000000036e+00,4.120000000000000107e+00
1.164550000003146124e-01,4.959999999999999964e+00,4.120000000000000107e+00
1.330259999999725551e-01,4.980000000000000426e+00,4.200000000000000178e+00
1.497800000001916487e-01,5.019999999999999574e+00,3.939999999999999947e+00
1.663820000003397581e-01,5.000000000000000000e+00,3.939999999999999947e+00
1.831360000001041044e-01,4.980000000000000426e+00,4.179999999999999716e+00
1.996149999999943248e-01,5.019999999999999574e+00,4.240000000000000213e+00
2.161560000004101312e-01,5.040000000000000036e+00,4.000000000000000000e+00
2.328790000001390581e-01,5.200000000000000178e+00,3.959999999999999964e+00
2.494810000002871675e-01,4.519999999999999574e+00,4.099999999999999645e+00
2.661130000001321605e-01,5.099999999999999645e+00,4.160000000000000142e+00
2.827449999999771535e-01,5.139999999999999680e+00,4.080000000000000071e+00
2.993770000002768938e-01,5.080000000000000071e+00,4.099999999999999645e+00
3.161010000003443565e-01,5.019999999999999574e+00,4.139999999999999680e+00
3.327630000003409805e-01,4.980000000000000426e+00,4.120000000000000107e+00
3.494560000003730238e-01,5.000000000000000000e+00,4.160000000000000142e+00
3.660280000003695022e-01,4.959999999999999964e+00,4.099999999999999645e+00
3.826900000003661262e-01,4.959999999999999964e+00,4.040000000000000036e+00
3.993220000002111192e-01,4.959999999999999964e+00,4.000000000000000000e+00
4.158630000001721783e-01,4.900000000000000355e+00,4.000000000000000000e+00
4.324950000000171713e-01,4.820000000000000284e+00,3.959999999999999964e+00
4.491270000003169116e-01,4.160000000000000142e+00,3.939999999999999947e+00
4.658510000003843743e-01,3.240000000000000213e+00,3.799999999999999822e+00
4.825740000001133012e-01,4.759999999999999787e+00,3.839999999999999858e+00
4.993280000003323948e-01,4.919999999999999929e+00,3.979999999999999982e+00
5.157470000003741006e-01,3.959999999999999964e+00,3.819999999999999840e+00
5.323480000001836743e-01,4.740000000000000213e+00,3.979999999999999982e+00
5.489500000003317837e-01,4.940000000000000391e+00,3.939999999999999947e+00
5.656120000003284076e-01,4.820000000000000284e+00,3.959999999999999964e+00
5.822750000002088200e-01,4.480000000000000426e+00,3.879999999999999893e+00
5.989990000002762827e-01,4.419999999999999929e+00,3.859999999999999876e+00
6.154780000001665030e-01,4.440000000000000391e+00,3.899999999999999911e+00
6.322630000004210160e-01,4.740000000000000213e+00,3.859999999999999876e+00
6.488640000002305896e-01,0.000000000000000000e+00,3.839999999999999858e+00
6.654970000004141184e-01,4.780000000000000249e+00,3.939999999999999947e+00
6.821290000002591114e-01,4.900000000000000355e+00,3.879999999999999893e+00
6.987000000003718014e-01,4.940000000000000391e+00,3.939999999999999947e+00
7.153620000003684254e-01,4.700000000000000178e+00,3.959999999999999964e+00
7.320859999999811407e-01,4.719999999999999751e+00,3.959999999999999964e+00
7.485960000003615278e-01,4.459999999999999964e+00,3.959999999999999964e+00
7.653199999999742431e-01,4.759999999999999787e+00,3.979999999999999982e+00
7.819819999999708671e-01,4.379999999999999893e+00,3.919999999999999929e+00
7.987060000000383297e-01,4.440000000000000391e+00,3.919999999999999929e+00
8.153070000003026507e-01,4.839999999999999858e+00,3.759999999999999787e+00
8.319700000001830631e-01,5.040000000000000036e+00,3.959999999999999964e+00
8.484490000000732834e-01,4.980000000000000426e+00,3.979999999999999982e+00
8.651120000004084432e-01,4.799999999999999822e+00,3.919999999999999929e+00
8.817750000002888555e-01,4.339999999999999858e+00,3.919999999999999929e+00
8.983760000000984292e-01,4.839999999999999858e+00,4.000000000000000000e+00
9.151000000001658918e-01,5.000000000000000000e+00,3.959999999999999964e+00
9.315790000000561122e-01,4.839999999999999858e+00,4.000000000000000000e+00
9.484550000001945591e-01,5.000000000000000000e+00,4.019999999999999574e+00
9.651180000000749715e-01,5.040000000000000036e+00,4.019999999999999574e+00
9.816590000000360305e-01,5.080000000000000071e+00,4.000000000000000000e+00
9.982600000003003515e-01,5.080000000000000071e+00,3.879999999999999893e+00
1.014923000000180764e+00,5.080000000000000071e+00,4.000000000000000000e+00
1.031494000000293454e+00,5.059999999999999609e+00,4.000000000000000000e+00
1.048095000000103028e+00,5.059999999999999609e+00,4.019999999999999574e+00
1.064727000000402768e+00,5.080000000000000071e+00,4.000000000000000000e+00
1.081390000000283180e+00,0.000000000000000000e+00,4.019999999999999574e+00
1.098114000000350643e+00,0.000000000000000000e+00,4.000000000000000000e+00
1.114746000000195636e+00,5.099999999999999645e+00,3.899999999999999911e+00
1.131347000000005210e+00,5.059999999999999609e+00,3.979999999999999982e+00
1.147949000000153319e+00,4.179999999999999716e+00,4.019999999999999574e+00
1.164795000000140135e+00,4.820000000000000284e+00,4.000000000000000000e+00
1.181274000000030355e+00,4.940000000000000391e+00,4.000000000000000000e+00
1.197906000000330096e+00,4.900000000000000355e+00,4.000000000000000000e+00
1.214476999999988038e+00,5.120000000000000107e+00,4.000000000000000000e+00
1.231231000000207132e+00,5.099999999999999645e+00,4.000000000000000000e+00
1.247741000000132772e+00,5.139999999999999680e+00,4.019999999999999574e+00
1.264526000000387285e+00,5.040000000000000036e+00,4.019999999999999574e+00
1.281189000000267697e+00,5.099999999999999645e+00,4.019999999999999574e+00
1.297760000000380387e+00,5.099999999999999645e+00,4.019999999999999574e+00
1.314392000000225380e+00,5.019999999999999574e+00,3.939999999999999947e+00
1.331115000000409054e+00,5.019999999999999574e+00,4.040000000000000036e+00
1.347564000000147644e+00,5.000000000000000000e+00,4.040000000000000036e+00
1.364257000000179687e+00,5.000000000000000000e+00,3.979999999999999982e+00
1.380890000000363216e+00,5.059999999999999609e+00,4.000000000000000000e+00
1.397461000000021158e+00,5.040000000000000036e+00,4.019999999999999574e+00
1.414215000000240252e+00,5.019999999999999574e+00,4.019999999999999574e+00
1.431060000000343280e+00,5.040000000000000036e+00,3.959999999999999964e+00
1.447509000000081869e+00,5.040000000000000036e+00,3.979999999999999982e+00
1.464142000000265398e+00,5.040000000000000036e+00,4.019999999999999574e+00
1.480835000000297441e+00,5.040000000000000036e+00,3.979999999999999982e+00
1.497375000000374712e+00,5.040000000000000036e+00,4.000000000000000000e+00
1.514007000000219705e+00,4.679999999999999716e+00,4.000000000000000000e+00
1.530639000000064698e+00,4.660000000000000142e+00,3.979999999999999982e+00
1.547241000000212807e+00,4.959999999999999964e+00,4.059999999999999609e+00
1.563965000000280270e+00,4.540000000000000036e+00,3.979999999999999982e+00
1.580505000000357541e+00,5.019999999999999574e+00,4.000000000000000000e+00
1.597259000000121887e+00,4.959999999999999964e+00,3.979999999999999982e+00
1.613861000000269996e+00,4.580000000000000071e+00,3.979999999999999982e+00
1.630493000000114989e+00,4.820000000000000284e+00,3.979999999999999982e+00
1.647216000000298664e+00,4.879999999999999893e+00,3.979999999999999982e+00
1.663971000000401546e+00,4.860000000000000320e+00,3.979999999999999982e+00
1.680389000000104716e+00,4.860000000000000320e+00,3.979999999999999982e+00
1.696960000000217406e+00,5.019999999999999574e+00,3.979999999999999982e+00
1.713623000000097818e+00,5.019999999999999574e+00,3.979999999999999982e+00
1.730255000000397558e+00,5.019999999999999574e+00,4.000000000000000000e+00
1.747070000000348955e+00,5.019999999999999574e+00,4.000000000000000000e+00
1.763702000000193948e+00,5.019999999999999574e+00,4.000000000000000000e+00
1.780243000000155007e+00,4.900000000000000355e+00,4.000000000000000000e+00
1.796997000000374101e+00,4.919999999999999929e+00,3.979999999999999982e+00
1.813507000000299740e+00,4.599999999999999645e+00,4.000000000000000000e+00
1.830139000000144733e+00,4.440000000000000391e+00,3.979999999999999982e+00
1.846770999999989726e+00,4.519999999999999574e+00,3.979999999999999982e+00
1.863434000000324886e+00,4.799999999999999822e+00,3.979999999999999982e+00
1.880004999999982829e+00,4.580000000000000071e+00,3.979999999999999982e+00
1.896576000000095519e+00,4.879999999999999893e+00,3.979999999999999982e+00
1.913391000000046915e+00,4.919999999999999929e+00,4.000000000000000000e+00
1.929992000000311236e+00,4.980000000000000426e+00,4.000000000000000000e+00
1.946747000000414118e+00,5.120000000000000107e+00,3.959999999999999964e+00
1.963531000000330096e+00,5.040000000000000036e+00,3.979999999999999982e+00
1.979889000000184751e+00,5.019999999999999574e+00,4.000000000000000000e+00
1.996489999999994325e+00,5.019999999999999574e+00,4.000000000000000000e+00
2.013092000000142434e+00,5.040000000000000036e+00,4.000000000000000000e+00
2.029754000000139058e+00,5.099999999999999645e+00,4.019999999999999574e+00
2.046356000000287167e+00,5.000000000000000000e+00,3.959999999999999964e+00
2.063110000000051514e+00,5.019999999999999574e+00,4.000000000000000000e+00
2.079834000000118976e+00,4.940000000000000391e+00,4.000000000000000000e+00
2.096374000000196247e+00,4.919999999999999929e+00,4.019999999999999574e+00
2.113006000000041240e+00,5.019999999999999574e+00,3.979999999999999982e+00
2.129638000000340980e+00,4.980000000000000426e+00,4.000000000000000000e+00
2.146179000000302040e+00,5.019999999999999574e+00,4.000000000000000000e+00
2.163025000000288856e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.179565000000366126e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.196136000000024069e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.212829000000056112e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.229614000000310625e+00,5.000000000000000000e+00,3.979999999999999982e+00
2.246124000000236265e+00,5.040000000000000036e+00,4.000000000000000000e+00
2.262726000000384374e+00,5.019999999999999574e+00,4.000000000000000000e+00
2.279419000000416418e+00,5.019999999999999574e+00,4.000000000000000000e+00
2.296020000000225991e+00,5.019999999999999574e+00,4.000000000000000000e+00
2.312622000000374101e+00,5.040000000000000036e+00,4.000000000000000000e+00
2.329254000000219094e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.346161000000392960e+00,5.000000000000000000e+00,3.979999999999999982e+00
2.362610000000131549e+00,5.019999999999999574e+00,4.000000000000000000e+00
2.379272000000128173e+00,5.019999999999999574e+00,4.000000000000000000e+00
2.395903999999973166e+00,5.080000000000000071e+00,4.019999999999999574e+00
2.412506000000121276e+00,5.099999999999999645e+00,4.000000000000000000e+00
2.429199000000153319e+00,4.940000000000000391e+00,3.979999999999999982e+00
2.445770000000266009e+00,4.940000000000000391e+00,4.000000000000000000e+00
2.462372000000414118e+00,5.080000000000000071e+00,4.019999999999999574e+00
2.479156000000330096e+00,4.900000000000000355e+00,4.019999999999999574e+00
2.495575000000371801e+00,4.440000000000000391e+00,4.019999999999999574e+00
2.512146000000029744e+00,4.419999999999999929e+00,3.979999999999999982e+00
2.528808000000026368e+00,4.839999999999999858e+00,3.799999999999999822e+00
2.545471000000361528e+00,4.799999999999999822e+00,3.799999999999999822e+00
2.562347000000045227e+00,4.580000000000000071e+00,3.939999999999999947e+00
2.579040000000077271e+00,4.639999999999999680e+00,4.019999999999999574e+00
2.595581000000038330e+00,4.519999999999999574e+00,4.000000000000000000e+00
2.612060000000383297e+00,4.379999999999999893e+00,3.839999999999999858e+00
2.628875000000334694e+00,4.339999999999999858e+00,3.799999999999999822e+00
2.645385000000260334e+00,4.299999999999999822e+00,3.899999999999999911e+00
2.662109000000327796e+00,4.360000000000000320e+00,3.959999999999999964e+00
2.679016000000046915e+00,4.360000000000000320e+00,4.000000000000000000e+00
2.695312000000285479e+00,4.400000000000000355e+00,3.919999999999999929e+00
2.712249000000156229e+00,4.400000000000000355e+00,3.959999999999999964e+00
2.728607000000010885e+00,4.339999999999999858e+00,4.000000000000000000e+00
2.745239000000310625e+00,4.419999999999999929e+00,3.979999999999999982e+00
2.761993000000074971e+00,4.440000000000000391e+00,3.979999999999999982e+00
2.778473000000303728e+00,4.299999999999999822e+00,3.799999999999999822e+00
2.795135000000300352e+00,4.139999999999999680e+00,3.879999999999999893e+00
2.811706000000413042e+00,4.120000000000000107e+00,3.799999999999999822e+00
2.828338000000258035e+00,4.059999999999999609e+00,3.740000000000000213e+00
2.845001000000138447e+00,4.019999999999999574e+00,3.720000000000000195e+00
2.862060000000383297e+00,4.080000000000000071e+00,3.779999999999999805e+00
2.878387000000202534e+00,3.939999999999999947e+00,3.759999999999999787e+00
2.895111000000269996e+00,4.059999999999999609e+00,3.779999999999999805e+00
2.911621000000195636e+00,4.040000000000000036e+00,3.799999999999999822e+00
2.928161000000272907e+00,3.879999999999999893e+00,3.779999999999999805e+00
2.944915000000037253e+00,4.000000000000000000e+00,3.799999999999999822e+00
2.961639000000104716e+00,4.099999999999999645e+00,3.799999999999999822e+00
2.978119000000333472e+00,4.160000000000000142e+00,3.859999999999999876e+00
2.994751000000178465e+00,3.859999999999999876e+00,3.560000000000000053e+00
3.011322000000291155e+00,3.759999999999999787e+00,3.580000000000000071e+00
3.027954000000136148e+00,4.059999999999999609e+00,3.620000000000000107e+00
3.044738000000052125e+00,3.859999999999999876e+00,3.640000000000000124e+00
3.061340000000200234e+00,3.879999999999999893e+00,3.720000000000000195e+00
3.078003000000080647e+00,3.959999999999999964e+00,3.779999999999999805e+00
